====== 1982 相较于 1981 ======

改名的：
372628 <> 新汶县
410500 <> 鹤壁市
410502 <> 鹤山区
410503 <> 山城区
410511 <> 郊区
410604 <> 马村区
430305 <> 板塘区
433028 <> 怀化县
433121 <> 吉首县
442301 <> 潮州市
442721 <> 三水县
442722 <> 南海县
442723 <> 顺德县
442724 <> 中山县
442725 <> 斗门县
442726 <> 新会县
442727 <> 台山县
442728 <> 恩平县
442729 <> 开平县
442731 <> 鹤山县
442732 <> 高明县
512129 <> 蒲江县
512130 <> 邛崃县
512131 <> 大邑县
512132 <> 崇庆县
512202 <> 市中区
512230 <> 射洪县
512231 <> 遂宁县
512232 <> 蓬溪县
512233 <> 中江县
512234 <> 德阳县
512235 <> 绵竹县
512236 <> 安县
512237 <> 北川县
512301 <> 内江市
512402 <> 泸州市
512429 <> 古蔺县
512430 <> 叙永县
512431 <> 长宁县
512432 <> 兴文县
512433 <> 珙县
512434 <> 高县
512435 <> 筠连县
512436 <> 屏山县
513438 <> 木里藏族自治县
513439 <> 冕宁县
632324 <> 河南蒙古族自治县

